Zeitstempel;Wetter;Temperatur;Mindesttemperatur;Passanten;Unverifiziert;Location ID;Location Name;GeoShape;GeoPunkt;Passanten ltr;Passanten rtl;Passanten Erwachsene;Passanten Kinder;Passanten Erwachsene ltr;Passanten Passanten rtl;Passanten Kinder ltr;Passanten Kinder rtl;Zonen
2024-02-15;rain;15.0;8.0;31806;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-16;rain;17.0;8.0;33055;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-17;rain;13.0;7.8;41932;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-18;rain;13.0;6.0;8093;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-19;rain;11.0;7.7;23051;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-20;rain;10.0;6.0;23742;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-21;rain;11.0;5.0;23735;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-22;rain;12.1;7.2;17148;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-23;rain;9.7;2.6;28357;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-24;rain;9.0;0.0;41220;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
